geographicAreaM49,Geographic Area,measuredItemCPC,Item,measuredElement,Element,timePointYears,Year,Value,flagObservationStatus,flagMethod
36,Australia,02111,Cattle,5315,Slaughtered/Prod Animals [head],2012,2012,7887100,,-
36,Australia,02122,Sheep,5315,Slaughtered/Prod Animals [head],2013,2013,30430400,,-
36,Australia,02122,Sheep,5315,Slaughtered/Prod Animals [head],2012,2012,24791100,,-
36,Australia,02123,Goats,5315,Slaughtered/Prod Animals [head],2013,2013,1030000,E,f
36,Australia,02123,Goats,5315,Slaughtered/Prod Animals [head],2012,2012,1030000,E,f
36,Australia,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2013,2013,4805500,,-
36,Australia,02140,Swine / pigs,5315,Slaughtered/Prod Animals [head],2012,2012,4700400,,-
36,Australia,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2013,2013,568572,,-
36,Australia,02151,Chickens,5316,Slaughtered/Prod Animals [1000 head],2012,2012,555106,,-
36,Australia,02152,Turkeys,5316,Slaughtered/Prod Animals [1000 head],2012,2012,6430,E,f
36,Australia,02154,Ducks,5316,Slaughtered/Prod Animals [1000 head],2012,2012,7500,E,f
36,Australia,02951.01,Raw hides and skins of cattle,5320,Slaughtered/Prod Animals [head],2013,2013,8814100,,c
36,Australia,02951.01,Raw hides and skins of cattle,5320,Slaughtered/Prod Animals [head],2012,2012,7887100,,c
36,Australia,02953,Raw hides and skins of sheep or lambs,5320,Slaughtered/Prod Animals [head],2013,2013,30430400,,c
36,Australia,02953,Raw hides and skins of sheep or lambs,5320,Slaughtered/Prod Animals [head],2012,2012,24791100,,c
36,Australia,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,8814100,,c
36,Australia,21111.01,"Meat of cattle, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,7887100,,c
36,Australia,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,4805500,,c
36,Australia,21113.01,"Meat of pig, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,4700400,,c
36,Australia,21115,"Meat of sheep, fresh or chilled",5320,Slaughtered/Prod Animals [head],2013,2013,30430400,,c
36,Australia,21115,"Meat of sheep, fresh or chilled",5320,Slaughtered/Prod Animals [head],2012,2012,24791100,,c
36,Australia,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2013,2013,568572,,c
36,Australia,21121,"Meat of chickens, fresh or chilled",5321,Slaughtered/Prod Animals [1000 head],2012,2012,555106,,c
36,Australia,21151,"Edible offal of cattle, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,8814100,,c
36,Australia,21151,"Edible offal of cattle, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,7887100,,c
36,Australia,21153,"Edible offal of pigs, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,4805500,,c
36,Australia,21153,"Edible offal of pigs, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,4700400,,c
36,Australia,21155,"Edible offal of sheep, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2013,2013,30430400,,c
36,Australia,21155,"Edible offal of sheep, fresh, chilled or frozen",5320,Slaughtered/Prod Animals [head],2012,2012,24791100,,c
36,Australia,21511.01,Fat of pigs,5320,Slaughtered/Prod Animals [head],2013,2013,4805500,,c
36,Australia,21511.01,Fat of pigs,5320,Slaughtered/Prod Animals [head],2012,2012,4700400,,c
36,Australia,21512,"Cattle fat, unrendered",5320,Slaughtered/Prod Animals [head],2013,2013,8814100,,c
36,Australia,21512,"Cattle fat, unrendered",5320,Slaughtered/Prod Animals [head],2012,2012,7887100,,c
36,Australia,21514,"Sheep fat, unrendered",5320,Slaughtered/Prod Animals [head],2013,2013,30430400,,c
36,Australia,21514,"Sheep fat, unrendered",5320,Slaughtered/Prod Animals [head],2012,2012,24791100,,c
40,Austria,02111,Cattle,5315,Slaughtered/Prod Animals [head],2014,2014,675910,,p
