"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"276","02111","5315","2014",3606557,"","q"
"276","02122","5315","2012",1813530,"","q"
"276","02122","5315","2014",1523398,"","q"
"276","02123","5315","2012",28881,"","q"
"276","02123","5315","2014",24306,"","q"
"276","02131","5315","2012",11923,"","q"
"276","02131","5315","2013",10899,"","q"
"276","02131","5315","2014",8852,"","q"
"276","02140","5315","2012",58365864,"","q"
"276","02140","5315","2014",58813794,"","q"
"276","02151","5316","2012",627943,"","q"
"276","02151","5316","2014",667130,"","q"
"276","02152","5316","2012",37692,"","q"
"276","02152","5316","2013",36689,"","q"
"276","02152","5316","2014",37070,"","q"
"276","02153","5316","2012",530,"","q"
"276","02153","5316","2013",581,"","q"
"276","02153","5316","2014",600,"","q"
"276","02154","5316","2012",25456,"","q"
"276","02154","5316","2013",19791,"","q"
"276","02154","5316","2014",20272,"","q"
"31","02140","5315","2012",14200,"","q"
"31","02140","5315","2013",14200,"","q"
"348","02111","5315","2012",98060,"","q"
"348","02111","5315","2013",91763,"","q"
"348","02122","5315","2012",56672,"","q"
"348","02122","5315","2013",47417,"","q"
"348","02123","5315","2012",17095,"","q"
"348","02123","5315","2013",13162,"","q"
"348","02131","5315","2012",328,"","q"
"348","02131","5315","2013",272,"","q"
"348","02140","5315","2012",4239317,"","q"
"348","02140","5315","2013",4017421,"","q"
"348","02151","5316","2012",139248,"","q"
"348","02151","5316","2013",133445,"","q"
"348","02152","5316","2012",7689,"","q"
"348","02152","5316","2013",6427,"","q"
"348","02153","5316","2012",6263,"","q"
"348","02153","5316","2013",5743,"","q"
"348","02191","5316","2012",4550,"","q"
"348","02191","5316","2013",4532,"","q"
"352","02111","5315","2012",22251,"","q"
"352","02111","5315","2013",21383,"","q"
"352","02122","5315","2012",583318,"","q"
"352","02122","5315","2013",590651,"","q"
"352","02131","5315","2012",11279,"","q"
"352","02131","5315","2013",9758,"","q"
"352","02140","5315","2012",73421,"","q"
"352","02140","5315","2013",77470,"","q"
"352","02151","5316","2012",5010,"","q"
"352","02151","5316","2013",4957,"","q"
"372","02111","5315","2012",1483800,"","q"
"372","02111","5315","2013",1588700,"","q"
"372","02111","5315","2014",1748700,"","q"
"372","02122","5315","2012",2690800,"","q"
"372","02122","5315","2013",2874100,"","q"
"372","02122","5315","2014",2836600,"","q"
"372","02140","5315","2012",2972300,"","q"
"372","02140","5315","2013",2903700,"","q"
"372","02140","5315","2014",3042800,"","q"
